index;u;v;key;osmid;oneway;ref;name;highway;maxspeed;reversed;length;lanes;bridge;tunnel;fid;geometry;points
8;301789618;1264086390;0;32896012;1;;五橋通;tertiary;;False;114.691;2;;;8;LINESTRING (140.8759457 38.2551037, 140.8757614 38.2553133, 140.8754946 38.2554052, 140.8748505 38.255616);4
30;338511386;1256434361;0;837910348;0;;北目町通;tertiary;;False;58.172;;;;30;LINESTRING (140.8791575 38.2561235, 140.8792071 38.2561403, 140.8797852 38.2562985);3
31;338511386;338511390;0;837910348;0;;北目町通;tertiary;;True;129.642;;;;31;LINESTRING (140.8791575 38.2561235, 140.8790851 38.2561022, 140.8779371 38.2557596, 140.8777689 38.2557108);4
33;338511388;338511389;0;30614284;1;;東四番丁線;unclassified;;False;145.386;;;;33;LINESTRING (140.8797221 38.2576796, 140.8797479 38.2576362, 140.8803878 38.2565589, 140.880426 38.2564947);4
36;338511389;1257468277;0;837910348;0;;北目町通;tertiary;;False;53.64;;;;36;LINESTRING (140.880426 38.2564947, 140.8809997 38.2566672);2
37;338511389;1256434361;0;837910348;0;;北目町通;tertiary;;True;60.055;;;;37;LINESTRING (140.880426 38.2564947, 140.8797852 38.2562985);2
38;338511390;1201358498;0;837910348;0;;北目町通;tertiary;;True;15.868;;;;38;LINESTRING (140.8777689 38.2557108, 140.8775986 38.255661);2
40;338511390;338511386;0;837910348;0;;北目町通;tertiary;;False;129.642;;;;40;LINESTRING (140.8777689 38.2557108, 140.8779371 38.2557596, 140.8790851 38.2561022, 140.8791575 38.2561235);4
120;370487222;7235868282;0;355761056;0;;国分町通;residential;;False;66.844;;;;120;LINESTRING (140.8716152 38.2576122, 140.8715771 38.257723, 140.8714221 38.2581939);3
121;370487222;370487223;0;840676891;0;;南町通;tertiary;40;True;116.125;4;;;121;LINESTRING (140.8716152 38.2576122, 140.8717197 38.2576379, 140.8727669 38.2578999, 140.8728823 38.2579295);4
123;370487223;1201853930;0;38812456;0;;;tertiary;;False;66.781;;;;123;LINESTRING (140.8728823 38.2579295, 140.8729178 38.2578324, 140.8730831 38.25735);3
124;370487223;370487222;0;840676891;0;;南町通;tertiary;40;False;116.125;4;;;124;LINESTRING (140.8728823 38.2579295, 140.8727669 38.2578999, 140.8717197 38.2576379, 140.8716152 38.2576122);4
163;380407145;1837893274;0;38813261;1;;国分町通線;unclassified;;False;13.129;;;;163;LINESTRING (140.8719507 38.2565775, 140.8719125 38.2566917);2
170;460426178;2176635312;0;83629685;0;;;tertiary;;True;93.21899999999998;;;;170;LINESTRING (140.8831553 38.2622902, 140.8832907 38.2622815, 140.8836061 38.26226, 140.8836478 38.2622586, 140.8836988 38.2622561, 140.8839302 38.262245, 140.8840529 38.2622389, 140.8842202 38.2622304);8
171;460426178;1257506968;0;104161237;0;;;tertiary;;False;68.328;;;;171;LINESTRING (140.8831553 38.2622902, 140.8831599 38.2623465, 140.8831757 38.2625082, 140.8831802 38.2625551, 140.8831908 38.2626641, 140.883202 38.2627788, 140.8832041 38.2628029, 140.8832053 38.2628177, 140.883213 38.262903);9
174;460426261;1263621671;0;83629685;0;;;tertiary;;False;72.142;;;;174;LINESTRING (140.8893793 38.2612826, 140.8892381 38.2613189, 140.8885855 38.2614624);3
177;460426269;2176635312;0;83629685;0;;;tertiary;;False;83.208;;;;177;LINESTRING (140.8851693 38.2621633, 140.8850333 38.2621766, 140.8842202 38.2622304);3
180;460426269;4757206765;0;1059604402;0;;東七番丁;tertiary;;True;84.966;;;;180;LINESTRING (140.8851693 38.2621633, 140.8851881 38.2622527, 140.8853091 38.2627571, 140.8853391 38.2629156);4
191;460427835;929220422;0;83629685;0;;;tertiary;;False;59.32;;;;191;LINESTRING (140.8864882 38.2619488, 140.8863418 38.2619754, 140.8858251 38.262065);3
193;460427919;460427835;0;83629685;0;;;tertiary;;False;9.665;;;;193;LINESTRING (140.8865959 38.2619287, 140.8864882 38.2619488);2
219;460436041;1837893264;0;[38812456, 837910375];0;;;tertiary;;False;19.357;;;;219;LINESTRING (140.8734225 38.2563441, 140.8734477 38.2562516, 140.8734672 38.2561736);3
220;460436041;1201853978;0;38812456;0;;;tertiary;;True;58.634;;;;220;LINESTRING (140.8734225 38.2563441, 140.8734066 38.2563878, 140.8732366 38.2568508);3
222;460436339;1258983761;0;110166348;1;;;unclassified;;False;61.794000000000004;;;;222;LINESTRING (140.8736778 38.2551673, 140.8736007 38.2551405, 140.8730298 38.2549439);3
268;460480300;1256220810;0;[899682360, 866721537, 866721544, 223945062];0;;['南町通', '駅前通'];tertiary;40;[False, True];180.391;['2', '4', '3'];;;268;LINESTRING (140.8811174 38.2608203, 140.8811146 38.2606773, 140.8810948 38.2601142, 140.8810688 38.2600455, 140.8809367 38.2600037, 140.880056 38.2597623);6
269;460480741;460480300;0;866721540;0;;駅前通;tertiary;40;False;22.876;4;;;269;LINESTRING (140.8811267 38.2610259, 140.8811174 38.2608203);2
277;460493913;5794595710;0;83629685;0;;;tertiary;;False;81.439;;;;277;LINESTRING (140.8880845 38.261588, 140.8874328 38.2617474, 140.8871923 38.2618015);3
321;482143342;1257468290;0;38812469;0;;柳町通;tertiary;;True;61.143;;;;321;LINESTRING (140.8809835 38.2579383, 140.8808916 38.2579188, 140.8803088 38.2577911);3
323;482143616;1201448531;0;837910348;0;;北目町通;tertiary;;False;15.102;;;;323;LINESTRING (140.8816008 38.2568374, 140.8817105 38.2569424);2
325;482143616;1257468277;0;837910348;0;;北目町通;tertiary;;True;55.795;;;;325;LINESTRING (140.8816008 38.2568374, 140.881479 38.2568045, 140.8809997 38.2566672);3
357;504963906;1256494435;0;41294394;1;;新寺通;tertiary;;False;11.539;2;;;357;LINESTRING (140.881712 38.2554797, 140.8818428 38.2554649);2
360;504964892;7851969497;0;104156244;1;;新寺通;tertiary;;False;182.908;2;;;360;LINESTRING (140.8837743 38.2552353, 140.8839071 38.2552267, 140.8839588 38.2552297, 140.8841027 38.2552381, 140.8842252 38.2552607, 140.8842317 38.2552619, 140.8843528 38.2552972, 140.8845224 38.2553798, 140.8846617 38.2554827, 140.8849184 38.2557163, 140.8853177 38.2560872, 140.8853438 38.2561129, 140.8853826 38.2561484);13
369;504966247;929220418;0;27489126;1;;;tertiary;;False;94.639;;;;369;LINESTRING (140.8916604 38.2591509, 140.8916915 38.2593136, 140.8918194 38.2599928);3
371;504966262;2385285794;0;223962086;1;;宮城野通;tertiary;;False;26.522;2;;;371;LINESTRING (140.8965134 38.2586066, 140.8968142 38.2585734);2
372;504966262;1091581995;0;81370801;0;;;residential;;False;70.902;;;;372;LINESTRING (140.8965134 38.2586066, 140.8965288 38.2586813, 140.896583 38.2589451, 140.8969524 38.2589975);4
373;504966268;938513052;0;972013221;1;;宮城野通;tertiary;;False;13.224;2;;;373;LINESTRING (140.8917922 38.2590448, 140.8916418 38.2590588);2
401;598389457;939225591;0;27489126;1;;;tertiary;;False;137.377;;;;401;LINESTRING (140.8912032 38.2568937, 140.8912202 38.2569799, 140.8914424 38.2581148);3
406;749346903;749346909;0;60272280;0;137;県道137号荒浜原町線;secondary;;False;14.367;2;;;406;LINESTRING (140.8991239 38.2617277, 140.8991259 38.2615985);2
410;749346909;760272348;0;61575999;1;;;tertiary;;False;284.10299999999995;2;;;410;LINESTRING (140.8991259 38.2615985, 140.8985739 38.261588, 140.8980663 38.2616033, 140.8974618 38.2616307, 140.8958897 38.2618086);5
417;753563584;753563635;0;60453690;0;;;tertiary;;False;11.291;2;;;417;LINESTRING (140.8948329 38.2586954, 140.8948196 38.2587964);2
424;753563635;504966262;0;223962086;1;;宮城野通;tertiary;;False;149.389;2;;;424;LINESTRING (140.8948196 38.2587964, 140.8950253 38.258773, 140.8965134 38.2586066);3
425;753563635;764397801;0;1013965493;0;;;tertiary;;False;23.155;2;;;425;LINESTRING (140.8948196 38.2587964, 140.8948128 38.258894, 140.8948246 38.2590041);3
426;753563703;760272348;0;60807919;0;;;tertiary;;False;13.57;;;;426;LINESTRING (140.8959118 38.2619294, 140.8958897 38.2618086);2
427;753563703;749346903;0;60272277;1;;;tertiary;;False;281.891;2;;;427;LINESTRING (140.8959118 38.2619294, 140.8973898 38.2617774, 140.8982786 38.2617162, 140.8988662 38.2617149, 140.8991239 38.2617277);5
429;760272348;753563703;0;60807919;0;;;tertiary;;True;13.57;;;;429;LINESTRING (140.8958897 38.2618086, 140.8959118 38.2619294);2
430;760272348;895755413;0;61575999;1;;;tertiary;;False;118.12;2;;;430;LINESTRING (140.8958897 38.2618086, 140.8947263 38.2619361, 140.8945493 38.2619524);3
500;764397798;939225587;0;80428643;1;;;tertiary;;False;52.486;;;;500;LINESTRING (140.8919976 38.2600631, 140.8918781 38.2596005);2
501;764397798;939225676;0;61082083;0;;;unclassified;;False;68.043;;;;501;LINESTRING (140.8919976 38.2600631, 140.8921126 38.2600465, 140.8922362 38.2600288, 140.8927186 38.259844);4
502;764397801;768026117;0;61082083;0;;;unclassified;;True;87.54299999999999;;;;502;LINESTRING (140.8948246 38.2590041, 140.894683 38.2590574, 140.8939204 38.2593443);3
504;764397801;753563635;0;1013965493;0;;;tertiary;;True;23.155;2;;;504;LINESTRING (140.8948246 38.2590041, 140.8948128 38.258894, 140.8948196 38.2587964);3
507;764398139;460480741;0;[866721546, 866721547, 61082149];0;;駅前通;tertiary;40;True;78.87100000000001;['7', '5'];;;507;LINESTRING (140.880924 38.2617171, 140.8809507 38.2616239, 140.8810433 38.2612995, 140.8810686 38.2612176, 140.8811267 38.2610259);5
514;764398214;895755413;0;61082310;0;;;tertiary;;False;58.553999999999995;2;;;514;LINESTRING (140.8945773 38.2614283, 140.8945903 38.2616475, 140.8945757 38.2618413, 140.8945493 38.2619524);4
515;764398214;3754154209;0;61082310;0;;;tertiary;;True;75.28399999999999;2;;;515;LINESTRING (140.8945773 38.2614283, 140.8943988 38.2608748, 140.8943897 38.2608202, 140.8943886 38.2607692);4
530;768026085;939225676;0;61082083;0;;;unclassified;;True;45.32;;;;530;LINESTRING (140.8931792 38.2596561, 140.8928097 38.2598061, 140.8927186 38.259844);3
531;768026085;3754154204;0;61575996;0;;;unclassified;;False;69.259;;;;531;LINESTRING (140.8931792 38.2596561, 140.8931974 38.2597045, 140.8934041 38.2602534);3
532;768026111;3754154207;0;371864623;0;;;unclassified;;False;48.353;;;;532;LINESTRING (140.8937118 38.2609055, 140.894233 38.2607585);2
535;768026117;768026085;0;61082083;0;;;unclassified;;True;73.418;;;;535;LINESTRING (140.8939204 38.2593443, 140.8931792 38.2596561);2
775;781724243;938512911;0;373042365;0;;;tertiary;;False;12.723;;;;775;LINESTRING (140.8919458 38.2605682, 140.8920847 38.2605336);2
777;781724243;5844037486;0;373042365;0;;;tertiary;;True;45.363;;;;777;LINESTRING (140.8919458 38.2605682, 140.8917894 38.260609, 140.8914567 38.2607057);3
793;794404531;753563584;0;38812225;1;;宮城野通;tertiary;;False;173.253;2;;;793;LINESTRING (140.8967955 38.2584658, 140.8956591 38.2585967, 140.8950075 38.2586754, 140.8948329 38.2586954);4
832;895755413;895755469;0;61082310;0;;;tertiary;;False;13.606;2;;;832;LINESTRING (140.8945493 38.2619524, 140.8945208 38.2620727);2
833;895755413;764398214;0;61082310;0;;;tertiary;;True;58.553999999999995;2;;;833;LINESTRING (140.8945493 38.2619524, 140.8945757 38.2618413, 140.8945903 38.2616475, 140.8945773 38.2614283);4
864;895755469;753563703;0;60272277;1;;;tertiary;;False;122.494;2;;;864;LINESTRING (140.8945208 38.2620727, 140.8946897 38.2620519, 140.894744 38.2620459, 140.8959118 38.2619294);4
990;929220418;781724243;0;27489126;1;;;tertiary;;False;64.926;;;;990;LINESTRING (140.8918194 38.2599928, 140.8919132 38.2604199, 140.8919458 38.2605682);3
993;929220422;460426269;0;83629685;0;;;tertiary;;False;58.322;;;;993;LINESTRING (140.8858251 38.262065, 140.8853034 38.2621502, 140.8851693 38.2621633);3
1031;938512911;764397798;0;80428643;1;;;tertiary;;False;52.868;;;;1031;LINESTRING (140.8920847 38.2605336, 140.8920618 38.2604011, 140.8919976 38.2600631);3
1035;938512925;504966268;0;80428643;1;;;tertiary;;False;10.326;;;;1035;LINESTRING (140.8918026 38.2591373, 140.8917922 38.2590448);2
1060;938513052;504966247;0;27489126;1;;;tertiary;;False;10.369;;;;1060;LINESTRING (140.8916418 38.2590588, 140.8916604 38.2591509);2
1074;939225587;938512925;0;80428643;1;;;tertiary;;False;51.934;;;;1074;LINESTRING (140.8918781 38.2596005, 140.8918236 38.2592983, 140.8918026 38.2591373);3
1077;939225591;938513052;0;27489126;1;;;tertiary;;False;106.406;;;;1077;LINESTRING (140.8914424 38.2581148, 140.8916128 38.2589025, 140.8916418 38.2590588);3
1080;939225618;939225636;0;80510793;0;;;unclassified;;True;123.131;;;;1080;LINESTRING (140.8869957 38.2561205, 140.8870061 38.2561764, 140.887062 38.2564737, 140.8871 38.2567058, 140.8871778 38.2571814, 140.8871838 38.2572179);6
1084;939225636;939225738;0;228501983;0;;;tertiary;;False;53.17;2;;;1084;LINESTRING (140.8871838 38.2572179, 140.8877916 38.2572472);2
1095;939225676;768026085;0;61082083;0;;;unclassified;;False;45.32;;;;1095;LINESTRING (140.8927186 38.259844, 140.8928097 38.2598061, 140.8931792 38.2596561);3
1096;939225676;764397798;0;61082083;0;;;unclassified;;True;68.04299999999999;;;;1096;LINESTRING (140.8927186 38.259844, 140.8922362 38.2600288, 140.8921126 38.2600465, 140.8919976 38.2600631);4
1109;939225738;973821388;0;228501983;0;;;tertiary;;False;84.513;2;;;1109;LINESTRING (140.8877916 38.2572472, 140.8878962 38.2572495, 140.8880125 38.2572427, 140.8886557 38.2571718, 140.8887519 38.2571612);5
1112;941298170;1253984599;0;[180919747, 109827583];0;;;tertiary;;True;225.736;;;;1112;LINESTRING (140.8808055 38.2621497, 140.8809881 38.2621815, 140.8818845 38.2623455, 140.8820186 38.2624034, 140.882062 38.2624448, 140.8820898 38.2625077, 140.88215 38.2629726, 140.8821986 38.2633053, 140.8822628 38.263412);9
1114;941298170;764398139;0;[1061795197, 1061795198];0;;駅前通;tertiary;40;True;49.203;7;;;1114;LINESTRING (140.8808055 38.2621497, 140.8808208 38.2620914, 140.8808931 38.2618302, 140.880924 38.2617171);4
1157;973821388;2371746420;0;228501983;0;;;tertiary;;False;105.155;2;;;1157;LINESTRING (140.8887519 38.2571612, 140.8888397 38.2571515, 140.8899445 38.2570296);3
1180;1091581995;504966262;0;81370801;0;;;residential;;True;70.902;;;;1180;LINESTRING (140.8969524 38.2589975, 140.896583 38.2589451, 140.8965288 38.2586813, 140.8965134 38.2586066);4
1517;1201358498;338511390;0;837910348;0;;北目町通;tertiary;;False;15.868;;;;1517;LINESTRING (140.8775986 38.255661, 140.8777689 38.2557108);2
1518;1201358498;1201358598;0;32129531;1;286;東二番丁通;trunk;60;False;169.71400000000003;;;;1518;LINESTRING (140.8775986 38.255661, 140.877512 38.2558155, 140.8768353 38.2569457, 140.8767811 38.2570456);4
1519;1201358498;1256750688;0;837910348;0;;北目町通;tertiary;;True;74.986;;;;1519;LINESTRING (140.8775986 38.255661, 140.8774521 38.2556162, 140.8767984 38.2554162);3
1551;1201358598;3731544705;0;38812469;0;;柳町通;tertiary;;True;128.29;;;;1551;LINESTRING (140.8767811 38.2570456, 140.876634 38.2570118, 140.8753621 38.2567465);3
1574;1201380222;5797888756;0;38812495;0;;柳町通;tertiary;;True;27.358;;;;1574;LINESTRING (140.8721267 38.2560657, 140.8724303 38.2561265);2
1575;1201380222;380407145;0;38813261;1;;国分町通線;unclassified;;False;58.963;;;;1575;LINESTRING (140.8721267 38.2560657, 140.8719795 38.2565094, 140.8719507 38.2565775);3
1679;1201448378;482143342;0;38812469;0;;柳町通;tertiary;;True;12.788;;;;1679;LINESTRING (140.8811259 38.2579652, 140.8809835 38.2579383);2
